STATION,NAME,DATE,PGTM,PRCP,SNOW,TMAX,TMIN,TSUN
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/1/2000,844,0.07,0,56,46,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/2/2000,1426,0.05,0,60,41,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/3/2000,1638,0,0,64,35,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/4/2000,845,0,0,57,35,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/5/2000,1409,0,0,70,32,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/6/2000,1136,0,0,72,47,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/7/2000,1605,0.01,0,63,43,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/8/2000,2148,0,0,88,53,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/9/2000,239,0,0,63,46,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/10/2000,1411,0,0,46,41,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/11/2000,2,0,0,52,37,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/12/2000,1736,0,0,57,37,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/13/2000,1800,0,0,61,42,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/14/2000,2238,0.76,0,74,48,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/15/2000,36,0.6,0,65,49,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/16/2000,1118,0.47,0,53,41,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/17/2000,1647,0.01,0,64,35,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/18/2000,1519,0.38,0,69,47,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/19/2000,1702,0,0,70,41,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/20/2000,1524,0.93,0,78,55,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/21/2000,831,0.34,0,63,53,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/22/2000,1257,0.01,0,70,54,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/23/2000,1429,0.01,0,74,53,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/24/2000,1448,0,0,79,53,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/25/2000,1412,0.26,0,70,50,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/26/2000,1426,0.22,0,70,52,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/27/2000,1629,0,0,66,48,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/28/2000,1406,0.06,0,70,49,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/29/2000,1310,0,0,74,46,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",6/30/2000,1710,0,0,82,50,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/1/2000,1444,0.24,0,87,62,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/2/2000,1157,0.43,0,64,51,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/3/2000,715,0,0,67,50,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/4/2000,1603,0,0,78,56,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/5/2000,912,0,0,68,54,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/6/2000,1215,0,0,65,52,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/7/2000,959,0.74,0,63,52,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/8/2000,2245,1.19,0,73,57,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/9/2000,1510,0,0,85,63,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/10/2000,612,0,0,71,56,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/11/2000,1833,0,0,72,54,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/12/2000,1437,0.65,0,79,56,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/13/2000,1418,0,0,84,63,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/14/2000,1328,0,0,82,61,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/15/2000,1338,0,0,74,56,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/16/2000,1711,0,0,81,57,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/17/2000,1447,0,0,66,49,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/18/2000,1612,0,0,61,46,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/19/2000,2200,0,0,72,46,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/20/2000,1539,0.01,0,69,49,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/21/2000,1121,0,0,69,49,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/22/2000,1424,0,0,69,49,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/23/2000,1241,0,0,78,53,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/24/2000,1332,0.01,0,79,58,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/25/2000,1829,0.23,0,81,58,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/26/2000,1503,0,0,72,57,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/27/2000,1348,0,0,76,57,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/28/2000,1148,0,0,73,57,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/29/2000,1427,0,0,77,57,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/30/2000,1419,0,0,81,51,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",7/31/2000,749,0,0,86,64,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/1/2000,212,0.02,0,84,64,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/2/2000,1331,0,0,75,56,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/3/2000,1638,0,0,79,55,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/4/2000,1344,0,0,79,54,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/5/2000,938,1.21,0,68,61,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/6/2000,1432,0.03,0,77,62,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/7/2000,1000,0,0,77,60,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/8/2000,901,0.34,0,67,57,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/9/2000,941,0,0,77,57,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/10/2000,1135,0,0,81,54,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/11/2000,1747,0,0,77,58,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/12/2000,1231,0,0,79,66,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/13/2000,144,0,0,79,58,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/14/2000,1014,1.64,0,68,57,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/15/2000,1034,0,0,71,53,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/16/2000,2122,0.06,0,64,47,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/17/2000,1417,0.01,0,66,54,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/18/2000,1040,0,0,71,50,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/19/2000,1737,0,0,67,50,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/20/2000,1558,0,0,68,53,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/21/2000,543,0.21,0,71,57,
USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",8/22/2000,1644,0,0,74,50,
