STATION,NAME,DATE,PGTM,PRCP,SNOW,TMAX,TMIN,TSUN
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/20/2000,2237,0.36,,49,39,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/21/2000,440,0,,49,36,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/22/2000,1449,0,,55,32,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/23/2000,300,0,,50,42,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/24/2000,1637,,,56,40,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/25/2000,1819,,,54,34,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/26/2000,0,0,,61,34,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/27/2000,1149,0,,64,41,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/28/2000,2328,0,,63,36,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/29/2000,946,0,,48,39,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/30/2000,1619,0,,57,35,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/1/2000,1801,0,,63,44,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/2/2000,604,0,,60,41,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/3/2000,1551,0,,66,48,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/4/2000,1456,0,,80,55,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/5/2000,1553,0,,80,58,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/6/2000,2229,0,,79,64,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/7/2000,29,0,,75,64,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/8/2000,1233,0,,85,65,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/9/2000,1708,,,65,47,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/10/2000,7,0,,60,44,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/11/2000,1202,,,73,51,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/12/2000,1303,0,,71,56,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/13/2000,655,0,,57,43,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/14/2000,1455,0,,60,39,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/15/2000,1527,0,,62,42,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/16/2000,1334,0,,59,46,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/17/2000,2011,0.83,,59,45,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/18/2000,1820,1.44,,53,43,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/19/2000,42,0.02,,46,41,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/20/2000,1757,0,,56,44,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/21/2000,1252,0,,63,40,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/22/2000,1346,0.02,,77,54,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/23/2000,1524,0,,80,61,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/24/2000,1621,0,,79,50,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/25/2000,1240,0,,73,49,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/26/2000,1542,0.01,,61,48,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/27/2000,1122,0.91,,54,49,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/28/2000,1247,0.65,,53,46,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/29/2000,9,0,,60,43,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/30/2000,810,0.85,,69,50,
USW00094818,"RACINE BATTEN AIRPORT, WI US",5/31/2000,1454,0.81,,68,53,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/1/2000,1905,0.7,,85,54,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/2/2000,326,0,,68,47,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/3/2000,1357,0.01,,57,44,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/4/2000,2212,0.21,,57,50,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/5/2000,1125,0.15,,59,47,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/6/2000,1030,0,,70,44,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/7/2000,1315,0,,76,54,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/8/2000,749,0,,89,67,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/9/2000,1408,0,,87,70,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/10/2000,1446,0,,89,71,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/11/2000,2003,0.39,,82,52,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/12/2000,501,0.94,,55,51,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/13/2000,1808,0.12,,64,53,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/14/2000,2322,0.04,,77,63,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/15/2000,955,0.01,,76,61,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/16/2000,407,0.05,,74,61,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/17/2000,806,0,,62,52,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/18/2000,1652,0,,70,53,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/19/2000,1530,0,,76,56,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/20/2000,1649,0.15,,81,62,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/21/2000,1658,0,,80,69,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/22/2000,755,0,,76,59,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/23/2000,1406,0.03,,77,57,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/24/2000,810,0.08,,75,62,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/25/2000,1351,0.01,,83,63,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/26/2000,1122,0,,80,63,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/27/2000,942,0,,72,56,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/28/2000,811,0.21,,67,55,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/29/2000,1055,0,,71,54,
USW00094818,"RACINE BATTEN AIRPORT, WI US",6/30/2000,1625,0,,79,56,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/1/2000,1322,0,,81,61,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/2/2000,2159,0.23,,83,64,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/3/2000,258,0,,66,56,
