STATION,NAME,DATE,PGTM,PRCP,SNOW,TMAX,TMIN,TSUN
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/24/2000,,0,0,70,40,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/25/2000,,0,0,72,49,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/26/2000,,0,0,75,50,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/27/2000,,0,0,74,52,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/28/2000,,0,0,72,52,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/29/2000,,0,0,64,37,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/30/2000,,0,0,74,48,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/1/2000,,0.09,0,72,46,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/2/2000,,0,0,75,42,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/3/2000,,0,0,84,54,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/4/2000,,0,0,88,64,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/5/2000,,0,0,88,68,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/6/2000,,0,0,89,65,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/7/2000,,0,0,85,63,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/8/2000,,0.42,0,83,61,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/9/2000,,0,0,65,48,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/10/2000,,0.23,0,65,44,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/11/2000,,0.31,0,61,54,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/12/2000,,0,0,66,55,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/13/2000,,0,0,65,40,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/14/2000,,0,0,62,38,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/15/2000,,0,0,72,45,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/16/2000,,0.3,0,67,50,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/17/2000,,0.22,0,66,52,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/18/2000,,0.85,0,61,44,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/19/2000,,0,0,63,32,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/20/2000,,0,0,70,43,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/21/2000,,0,0,75,55,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/22/2000,,0.01,0,76,58,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/23/2000,,0,0,79,60,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/24/2000,,0,0,75,58,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/25/2000,,0,0,73,49,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/26/2000,,0,0,73,57,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/27/2000,,0.25,0,68,53,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/28/2000,,0.38,0,60,50,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/29/2000,,0,0,65,47,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/30/2000,,0.86,0,69,58,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/31/2000,,0.01,0,74,57,
USC00215838,"NEW HOPE, MN US",1/1/2000,,0,0,34,22,
USC00215838,"NEW HOPE, MN US",1/2/2000,,0.02,0.2,35,27,
USC00215838,"NEW HOPE, MN US",1/3/2000,,0,0,29,22,
USC00215838,"NEW HOPE, MN US",1/4/2000,,0.01,0.6,24,6,
USC00215838,"NEW HOPE, MN US",1/5/2000,,0.12,1.4,28,11,
USC00215838,"NEW HOPE, MN US",1/6/2000,,0,0,28,9,
USC00215838,"NEW HOPE, MN US",1/7/2000,,0,0,22,-2,
USC00215838,"NEW HOPE, MN US",1/8/2000,,0,0,42,21,
USC00215838,"NEW HOPE, MN US",1/9/2000,,0,0,36,17,
USC00215838,"NEW HOPE, MN US",1/10/2000,,0.09,1.4,35,27,
USC00215838,"NEW HOPE, MN US",1/11/2000,,0,0,31,10,
USC00215838,"NEW HOPE, MN US",1/12/2000,,0.45,6.8,13,7,
USC00215838,"NEW HOPE, MN US",1/13/2000,,0,0.1,21,1,
USC00215838,"NEW HOPE, MN US",1/14/2000,,0,0,29,-1,
USC00215838,"NEW HOPE, MN US",1/15/2000,,0,0,37,13,
USC00215838,"NEW HOPE, MN US",1/16/2000,,0,0,17,0,
